,station_id,lat,lng,address,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
289,31508,38.90509,-76.9941,Gallaudet / 8th St & Florida Ave NE,0,0,2259,6088,6882,6962,5928,5992,5145,4953
290,31509,38.912659000000005,-77.017669,New Jersey Ave & R St NW,0,0,0,6997,10538,10558,10212,10928,10252,9986
291,31510,38.927095,-76.97892399999999,18th St & Rhode Island Ave NE,0,0,0,357,735,688,983,1355,1434,1367
292,31511,38.928675166666665,-76.99092716666667,12th & Irving St NE,0,0,0,983,1677,2207,2787,2792,2789,3203
293,31512,38.903732,-76.987211,Neal St & Trinidad Ave NE,0,0,0,1697,4844,5871,5893,6642,5919,4746
294,31513,38.918155,-77.004746,Rhode Island Ave & V St NE,0,0,0,1732,5438,6805,6934,5655,5539,5880
295,31514,38.92744066666667,-76.99715883333333,Hamlin & 7th St NE,0,0,0,500,1957,2184,2612,3094,2835,3166
296,31515,38.952307833333336,-77.0027385,Fort Totten Metro,0,0,0,0,846,996,1128,2117,2306,3901
297,31516,38.920633,-76.99597966666667,Rhode Island Ave Metro,0,0,0,0,1810,3578,4447,4452,4250,4576
298,31517,38.907908,-76.99707,Union Market,0,0,0,0,281,6292,7219,8542,7345,8469
299,31518,38.9156375,-76.98384683333333,New York Ave & Hecht Ave NE,0,0,0,0,0,134,2691,4531,5115,5822
300,31519,38.908640666666656,-77.01238133333334,1st & O St NW,0,0,0,0,0,0,8137,11215,11948,11202
301,31520,38.91263,-76.971923,24th & R St NE / National Arboretum,0,0,0,0,0,0,752,2794,2785,3356
302,31521,38.932959833333335,-76.9795155,18th & Monroe St NE,0,0,0,0,0,0,0,508,494,615
303,31522,38.914751,-77.00356,2nd St & Seaton Pl NE,0,0,0,0,0,0,0,3185,4841,5094
304,31523,38.915,-77.0078,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,0,0,0,0,0,0,0,198,5612,6964
